AGI,Description,table.logConc,table.logFC,table.PValue,table.FDR,found in ATH1,Kozuka_2010_leaf_blade,Kozuka_2010_petiole
AT4G37770,"Encodes an auxin inducible ACC synthase.1-amino-cyclopropane-1-carboxylate synthase 8 (ACS8); CONTAINS InterPro DOMAIN/s: 1-aminocyclopropane-1-carboxylate synthase (InterPro:IPR001176), Pyridoxal phosphate-dependent transferase, major domain (InterPro:IPR015424), Aminotransferase, class I/classII (InterPro:IPR004839), Aminotransferases, class-I, pyridoxal-phosphate-binding site (InterPro:IPR004838), Pyridoxal phosphate-dependent transferase, major region, subdomain 2 (InterPro:IPR015422), Pyridoxal phosphate-dependent transferase, major region, subdomain 1 (InterPro:IPR015421); BEST Arabidopsis thaliana protein match is: 1-aminocyclopropane-1-carboxylate synthase 4 (TAIR:AT2G22810.1); Has 32273 Blast hits to 32271 proteins in 2940 species: Archae - 857; Bacteria - 22542; Metazoa - 664; Fungi - 765; Plants - 1331; Viruses - 0; Other Eukaryotes - 6114 (source: NCBI BLink).",32.97,34.09,0,0,253066_at,14.33,#N/A
AT1G04180,"YUCCA 9 (YUC9); FUNCTIONS IN: NADP or NADPH binding, oxidoreductase activity, monooxygenase activity, FAD binding, flavin-containing monooxygenase activity; INVOLVED IN: oxidation reduction; EXPRESSED IN: root; CONTAINS InterPro DOMAIN/s: Pyridine nucleotide-disulphide oxidoreductase, class-II (InterPro:IPR000103), FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027), Flavin-containing monooxygenase-like (InterPro:IPR020946); BEST Arabidopsis thaliana protein match is: Flavin-binding monooxygenase family protein (TAIR:AT5G43890.1); Has 11871 Blast hits to 11852 proteins in 1762 species: Archae - 17; Bacteria - 7034; Metazoa - 796; Fungi - 1508; Plants - 659; Viruses - 0; Other Eukaryotes - 1857 (source: NCBI BLink).",33.39,33.26,0,7E-15,264323_at,233.5,#N/A
AT3G21320,BEST Arabidopsis thaliana protein match is: hydroxyproline-rich glycoprotein family protein (TAIR:AT2G25930.1); Has 63 Blast hits to 58 proteins in 21 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 0; Plants - 58; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).,33.81,32.41,3.8054E-11,1.99764E-08,,#N/A,#N/A
AT5G02580,"Plant protein 1589 of unknown function; CONTAINS InterPro DOMAIN/s: Conserved hypothetical protein CHP01589, plant (InterPro:IPR006476); BEST Arabidopsis thaliana protein match is: Plant protein 1589 of unknown function (TAIR:AT3G55240.1); Has 206 Blast hits to 206 proteins in 21 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 202; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink).",34.26,31.52,1.25244E-06,0.000273819,251012_at,12.54,67.17
AT3G21330,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: nucleus; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT4G00120.1); Has 2796 Blast hits to 2791 proteins in 104 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 6; Plants - 2786; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). AtbHLH87",19.19,7.33,0,0,,#N/A,#N/A
AT4G31380,"encodes a small protein with unknown function and is similar to flower promoting factor 1. This gene is not expressed in apical meristem after floral induction but is expressed in roots, flowers, and in low abundance, leaves.FPF1-like protein 1 (FLP1); FUNCTIONS IN: molecular_function unknown; LOCATED IN: endomembrane system; BEST Arabidopsis thaliana protein match is: flowering promoting factor 1 (TAIR:AT5G24860.1); Has 122 Blast hits to 122 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 122; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",19.92,5.87,1E-14,8.606E-12,,#N/A,#N/A
AT1G02340,"Encodes a light-inducible, nuclear bHLH protein involved in phytochrome signaling. Mutants exhibit a long-hypocotyl phenotype only under far-red light but not under red light and are defective in other phytochrome A-related responses. Mutants also show blue light response defects. HFR1 interacts with COP1, co-localizes to the nuclear specks and is ubiquinated by COP1.LONG HYPOCOTYL IN FAR-RED (HFR1); CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: phytochrome interacting factor 3 (TAIR:AT1G09530.2); Has 1715 Blast hits to 1709 proteins in 90 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 4; Plants - 1707; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",20.14,5.42,4.9396E-11,2.44053E-08,259417_at,111.5,12.81
AT4G32280,"Auxin inducible protein.indole-3-acetic acid inducible 29 (IAA29); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: response to auxin stimulus, response to cyclopentenone, response to red light, response to far red light; LOCATED IN: nucleus; EXPRESSED IN: 7 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), AUX/IAA protein (InterPro:IPR003311); BEST Arabidopsis thaliana protein match is: indoleacetic acid-induced protein 10 (TAIR:AT1G04100.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",16.03,4.86,0,0,253423_at,12.82,41.22
AT1G29490,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT1G29420.1); Has 690 Blast hits to 677 proteins in 22 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 690; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,20.57,4.57,1.43144E-06,0.000302466,259785_at,#N/A,10.08
AT5G65800,"1-aminocyclopropane-1-carboxylate synthase (ACS) is encoded by a multigene family consisting of at least five members whose expression is induced by hormones, developmental signals, and protein synthesis inhibition.ACC synthase 5 (ACS5); CONTAINS InterPro DOMAIN/s: 1-aminocyclopropane-1-carboxylate synthase (InterPro:IPR001176), Pyridoxal phosphate-dependent transferase, major domain (InterPro:IPR015424), Aminotransferase, class I/classII (InterPro:IPR004839), Aminotransferases, class-I, pyridoxal-phosphate-binding site (InterPro:IPR004838), Pyridoxal phosphate-dependent transferase, major region, subdomain 1 (InterPro:IPR015421), Pyridoxal phosphate-dependent transferase, major region, subdomain 2 (InterPro:IPR015422); BEST Arabidopsis thaliana protein match is: 1-aminocyclopropane-1-carboxylate synthase 9 (TAIR:AT3G49700.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",19.62,4.48,1.83382E-10,7.60629E-08,247159_at,#N/A,#N/A
AT1G04610,"YUCCA 3 (YUC3); FUNCTIONS IN: NADP or NADPH binding, oxidoreductase activity, FAD binding, flavin-containing monooxygenase activity; INVOLVED IN: auxin biosynthetic process; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: 4 anthesis, C globular stage, petal differentiation and expansion stage, D bilateral stage; CONTAINS InterPro DOMAIN/s: Pyridine nucleotide-disulphide oxidoreductase, class-II (InterPro:IPR000103), FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027), Flavin-containing monooxygenase-like (InterPro:IPR020946); BEST Arabidopsis thaliana protein match is: YUCCA 7 (TAIR:AT2G33230.1); Has 9657 Blast hits to 9637 proteins in 1196 species: Archae - 33; Bacteria - 4899; Metazoa - 784; Fungi - 1494; Plants - 670; Viruses - 0; Other Eukaryotes - 1777 (source: NCBI BLink).",20.63,4.46,4.42197E-06,0.000834635,264598_at,#N/A,#N/A
AT5G07010,"Encodes a sulfotransferase that acts specifically on 11- and 12-hydroxyjasmonic acid. Transcript levels for this enzyme are increased by treatments with jasmonic acid (JA), 12-hydroxyJA, JA-isoleucine, and 12-oxyphytodienoic acid (a JA precursor).sulfotransferase 2A (ST2A); CONTAINS InterPro DOMAIN/s: Sulfotransferase domain (InterPro:IPR000863); BEST Arabidopsis thaliana protein match is: sulfotransferase 2B (TAIR:AT5G07000.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",16.61,4.15,0,0,250662_at,218.9,64.75
AT3G03830,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT3G03850.1); Has 952 Blast hits to 946 proteins in 28 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 951; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).,18.57,3.93,2E-14,1.6404E-11,259332_at,1.769,#N/A
AT5G44260,"Zinc finger C-x8-C-x5-C-x3-H type family protein; CONTAINS InterPro DOMAIN/s: Zinc finger, CCCH-type (InterPro:IPR000571); BEST Arabidopsis thaliana protein match is: Zinc finger C-x8-C-x5-C-x3-H type family protein (TAIR:AT1G03790.1); Has 1182 Blast hits to 968 proteins in 143 species: Archae - 0; Bacteria - 0; Metazoa - 415; Fungi - 15; Plants - 396; Viruses - 3; Other Eukaryotes - 353 (source: NCBI BLink).",18.37,3.80,7.2E-14,5.7483E-11,249065_at,6.389,25.21
AT4G36110,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT2G18010.1); Has 1361 Blast hits to 1344 proteins in 26 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1360; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).,19.40,3.74,,3.06694E-06,253103_at,#N/A,#N/A
AT4G28720,"Auxin biosynthetic gene regulated by RVE1. Overexpression leads to suppression of bri1 phenotype.YUCCA 8 (YUC8); FUNCTIONS IN: NADP or NADPH binding, oxidoreductase activity, monooxygenase activity, FAD binding, flavin-containing monooxygenase activity; INVOLVED IN: brassinosteroid mediated signaling pathway, auxin biosynthetic process; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: 4 anthesis; CONTAINS InterPro DOMAIN/s: Pyridine nucleotide-disulphide oxidoreductase, class-II (InterPro:IPR000103), FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027), Flavin-containing monooxygenase-like (InterPro:IPR020946); BEST Arabidopsis thaliana protein match is: Flavin-binding monooxygenase family protein (TAIR:AT5G43890.1); Has 11557 Blast hits to 11539 proteins in 1628 species: Archae - 52; Bacteria - 6582; Metazoa - 787; Fungi - 1560; Plants - 663; Viruses - 0; Other Eukaryotes - 1913 (source: NCBI BLink).",18.02,3.67,1E-15,7.56E-13,253794_at,16.62,#N/A
AT5G18010,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT5G18080.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,18.76,3.56,4.1065E-11,2.09039E-08,,#N/A,#N/A
AT3G15540,"Primary auxin-responsive gene. Involved in the regulation stamen filaments development.indole-3-acetic acid inducible 19 (IAA19); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: phototropism, gravitropism, response to auxin stimulus, response to brassinosteroid stimulus, stamen filament development; LOCATED IN: nucleus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), AUX/IAA protein (InterPro:IPR003311); BEST Arabidopsis thaliana protein match is: indole-3-acetic acid 6 (TAIR:AT1G52830.1); Has 1781 Blast hits to 1780 proteins in 79 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1780; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",15.49,3.51,0,0,258399_at,15.48,6.217
